,name,vicinity,rating,Users_ratings_total,lng,lat
223,Tianguis Alternativo Tepepan,"Calle Cuauhtémoc 329, Santa María Tepepan, Ciudad de México",4.6,16,-99.14034410000001,19.2691042
224,Tianguis de miércoles,"Prol. Canal de Miramontes, Coapa, Ex de San Juan de Dios, Ciudad de México",0.0,0,-99.12817249999999,19.2863696
225,Auto Tianguis,"Periferico Sur 4809, Arenal Tepepan, Ciudad de México",3.7,2339,-99.1485824,19.2855949
226,Tianguis Alternativo Tepepan,"14607, Xochitepetl 7, Corrales I y II, Ciudad de México",4.1,25,-99.14209249999999,19.2737796
227,Tianguis Martes,"09860, Bilbao 1, Cerro de la Estrella, Ciudad de México",4.1,248,-99.0770429,19.3283281
228,Tianguis Huizaches,"Huizaches, Coapa, Arboledas del Sur, Ciudad de México",4.3,421,-99.1388695,19.2899386
240,Mercado Tianguis 377,"Avenida 16 de Septiembre Avenida Morelos Calle Nezahualcóyotl, Francisco I. Madero",4.2,653,-99.10442959999999,19.2609232
245,Tianguis Estrella,"C. Nautla 30, El Rodeo, Ciudad de México",0.0,0,-99.07079399999999,19.33308
247,"Tianguis De Las Torres, San Lorenzo Tezonco","09900, Av. José Clemente Orozco 164, San Antonio, Ciudad de México",4.2,418,-99.07538129999999,19.309305
248,Tianguis la virgen los jueves,"Calz de la Virgen, Coapa, Avante, Ciudad de México",0.0,0,-99.1348981,19.3288988
258,"Tianguis 7 ""Chacharas"" Azcapotzalco","Calle Camino a Nextengo 73, Santa Apolonia, Ciudad de México",4.0,4,-99.19033239999999,19.472999
268,tianguis ferias y romerias,"06350, Zaragoza 27, Buenavista, Ciudad de México",4.1,13,-99.1508556,19.4389391
269,Tianguis,"Periferico Sur, San Jerónimo Lídice, Jardines del Pedregal, Ciudad de México",0.0,0,-99.2166123,19.3234884
295,mercado sobre ruedas coapa,"14050 de, Coapa 23, Toriello Guerra, Ciudad de México",4.1,18,-99.1661414,19.2928081
298,Tianguis,"Mirasol 112, San Pedro Mártir, Ciudad de México",0.0,0,-99.17449189999999,19.2671555
299,Tianguis (Unión de Comerciantes Desplazados y Discapacitados de la Ciudad de México),"Violeta 39BIS, San Pedro Mártir, Ciudad de México",5.0,1,-99.1644125,19.2665747
300,Tianguis Peña Pobre del domingo,"Av. San Fernando, Tlalpan Centro I, Ciudad de México",5.0,1,-99.18242389999999,19.2952337
301,Tianguis de la Bola,"Totonacas 376(MZ40 LT7BIS, Ajusco, Ciudad de México",5.0,1,-99.1636152,19.3174794
