alcaldia,colonia,clave_colonia,total_200801,total_200802
IZTAPALAPA,EJTO CONSTITUCIONALISTA,07-044,7,8
IZTAPALAPA,EL ROSARIO,07-059,7,6
IZTAPALAPA,EL SIFON,07-062,6,8
IZTAPALAPA,FUEGO NUEVO,07-077,7,7
IZTAPALAPA,JACARANDAS,07-097,6,7
IZTAPALAPA,MIRASOLES (U HAB),07-142,13,11
IZTAPALAPA,SAN LORENZO TEZONCO (PBLO),07-191,10,12
IZTAPALAPA,SANTA MARTHA ACATITLA_(PBLO),07-217,12,12
IZTAPALAPA,SANTIAGO ACAHUALTEPEC (PBLO),07-219,8,7
IZTAPALAPA,TENORIOS,07-229,6,6
IZTAPALAPA,CONSEJO AGRARISTA MEXICANO II,07-265,9,8
IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL  III,07-270,6,NA
IZTAPALAPA,LEYES DE REFORMA 3A SECCION I,07-279,6,NA
IZTAPALAPA,LOMAS DE SAN LORENZO I,07-283,13,13
IZTAPALAPA,SAN JUAN XALPA I,07-289,6,NA
IZTAPALAPA,STA MARTHA ACATITLA NTE (AMPL) I,07-299,9,9
IZTAPALAPA,TEPALCATES II,07-302,NA,7
IZTAPALAPA,JUAN ESCUTIA III,07-313,8,8
CUAJIMALPA DE MORELOS,LOMAS DE MEMETLA,04-031,6,NA
CUAJIMALPA DE MORELOS,LOMAS DE VISTA HERMOSA,04-032,7,7
CUAJIMALPA DE MORELOS,NAVIDAD (GRANJAS DE NAVIDAD),04-036,40,40
CUAJIMALPA DE MORELOS,SAN LORENZO ACOPILCO (PBLO),04-045,17,25
CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO (PBLO),04-046,16,15
LA MAGDALENA CONTRERAS,BARROS SIERRA,08-003,14,9
LA MAGDALENA CONTRERAS,CUAUHTEMOC,08-005,9,10
LA MAGDALENA CONTRERAS,EL ROSAL,08-010,13,14
LA MAGDALENA CONTRERAS,LA MAGDALENA ATLITIC (PBLO),08-024,6,NA
LA MAGDALENA CONTRERAS,LA MALINCHE,08-025,35,27
LA MAGDALENA CONTRERAS,LOMAS DE SAN BERNABE (AMPL),08-031,8,6
LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),08-045,11,9
LA MAGDALENA CONTRERAS,TIERRA UNIDA,08-052,7,NA
BENITO JUAREZ,NONOALCO,14-033,NA,6
BENITO JUAREZ,SAN SIMON TICUMAC,14-044,11,16
BENITO JUAREZ,PORTALES I,14-066,8,8
MIGUEL HIDALGO,IGNACIO MANUEL ALTAMIRANO,16-034,6,NA
MIGUEL HIDALGO,TORRE BLANCA,16-081,10,10
MIGUEL HIDALGO,ANAHUAC II,16-089,33,31
COYOACAN,EX HACIENDA COAPA,03-051,19,13
COYOACAN,LOS REYES (PBLO),03-078,12,13
COYOACAN,SAN FRANCISCO CULHUACAN (PBLO),03-101,8,8
COYOACAN,ADOLFO RUIZ CORTINES I,03-126,11,11
COYOACAN,ADOLFO RUIZ CORTINES II,03-127,7,6
VENUSTIANO CARRANZA,AQUILES SERDAN,17-005,9,9
VENUSTIANO CARRANZA,EL ARENAL 1A SECCION,17-018,6,7
VENUSTIANO CARRANZA,MERCED BALBUENA,17-038,13,10
VENUSTIANO CARRANZA,MICHOACANA (AMPL),17-040,7,6
VENUSTIANO CARRANZA,ROMERO RUBIO,17-055,12,12
VENUSTIANO CARRANZA,20 DE NOVIEMBRE,17-066,19,16
VENUSTIANO CARRANZA,CENTRO I,17-072,7,8
VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION II,17-080,14,12
VENUSTIANO CARRANZA,MORELOS II,17-084,20,22
